# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-02-16 13:23:53 EST       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455420 SACRAMENTO R A RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11455420
#            TS   parameter     Description
#         16187       00065     Gage height, feet, [PUBLISHED]
#         16194       00010     Temperature, water, degrees Celsius
#         16195       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        300439       00010     Temperature, water, degrees Celsius, LOWER-4 FT FROM BED
#        300448       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, LOWER-4 FT FROM BED
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	16187_00065	16187_00065_cd	16194_00010	16194_00010_cd	16195_00095	16195_00095_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	11455420	2019-09-28 00:00	PST	5.96	A	19.5	A	143	A
USGS	11455420	2019-09-28 00:15	PST	6.14	A	19.5	A	143	A
USGS	11455420	2019-09-28 00:30	PST	6.27	A	19.5	A	143	A
USGS	11455420	2019-09-28 00:45	PST	6.40	A	19.5	A	143	A
USGS	11455420	2019-09-28 01:00	PST	6.53	A	19.5	A	142	A
USGS	11455420	2019-09-28 01:15	PST	6.64	A	19.5	A	141	A
USGS	11455420	2019-09-28 01:30	PST	6.73	A	19.5	A	142	A
USGS	11455420	2019-09-28 01:45	PST	6.82	A	19.5	A	142	A
USGS	11455420	2019-09-28 02:00	PST	6.90	A	19.5	A	143	A
USGS	11455420	2019-09-28 02:15	PST	6.96	A	19.5	A	143	A
USGS	11455420	2019-09-28 02:30	PST	7.02	A	19.6	A	144	A
USGS	11455420	2019-09-28 02:45	PST	7.05	A	19.6	A	147	A
USGS	11455420	2019-09-28 03:00	PST	7.06	A	19.6	A	149	A
USGS	11455420	2019-09-28 03:15	PST	7.04	A	19.6	A	148	A
USGS	11455420	2019-09-28 03:30	PST	6.98	A	19.6	A	147	A
USGS	11455420	2019-09-28 03:45	PST	6.87	A	19.6	A	146	A
USGS	11455420	2019-09-28 04:00	PST	6.73	A	19.6	A	147	A
USGS	11455420	2019-09-28 04:15	PST	6.55	A	19.6	A	148	A
USGS	11455420	2019-09-28 04:30	PST	6.35	A	19.6	A	148	A
USGS	11455420	2019-09-28 04:45	PST	6.16	A	19.6	A	149	A
USGS	11455420	2019-09-28 05:00	PST	5.97	A	19.6	A	150	A
USGS	11455420	2019-09-28 05:15	PST	5.77	A	19.5	A	146	A
USGS	11455420	2019-09-28 05:30	PST	5.60	A	19.5	A	144	A
USGS	11455420	2019-09-28 05:45	PST	5.43	A	19.4	A	143	A
USGS	11455420	2019-09-28 06:00	PST	5.27	A	19.4	A	142	A
USGS	11455420	2019-09-28 06:15	PST	5.13	A	19.4	A	142	A
USGS	11455420	2019-09-28 06:30	PST	4.99	A	19.3	A	142	A
USGS	11455420	2019-09-28 06:45	PST	4.84	A	19.3	A	142	A
