# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-10-25 11:51:23 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455420 SACRAMENTO R A RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11455420
#            TS   parameter     Description
#         16187       00065     Gage height, feet, [PUBLISHED]
#         16194       00010     Temperature, water, degrees Celsius
#         16195       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	16187_00065	16187_00065_cd	16194_00010	16194_00010_cd	16195_00095	16195_00095_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	11455420	2019-09-28 00:00	PST	5.96	P	19.5	P	144	P
USGS	11455420	2019-09-28 00:15	PST	6.14	P	19.5	P	144	P
USGS	11455420	2019-09-28 00:30	PST	6.27	P	19.5	P	144	P
USGS	11455420	2019-09-28 00:45	PST	6.40	P	19.5	P	143	P
USGS	11455420	2019-09-28 01:00	PST	6.53	P	19.5	P	143	P
USGS	11455420	2019-09-28 01:15	PST	6.64	P	19.5	P	142	P
USGS	11455420	2019-09-28 01:30	PST	6.73	P	19.5	P	142	P
USGS	11455420	2019-09-28 01:45	PST	6.82	P	19.5	P	143	P
USGS	11455420	2019-09-28 02:00	PST	6.90	P	19.5	P	143	P
USGS	11455420	2019-09-28 02:15	PST	6.96	P	19.5	P	144	P
USGS	11455420	2019-09-28 02:30	PST	7.02	P	19.6	P	145	P
USGS	11455420	2019-09-28 02:45	PST	7.05	P	19.6	P	147	P
USGS	11455420	2019-09-28 03:00	PST	7.06	P	19.6	P	150	P
USGS	11455420	2019-09-28 03:15	PST	7.04	P	19.6	P	148	P
USGS	11455420	2019-09-28 03:30	PST	6.98	P	19.6	P	147	P
USGS	11455420	2019-09-28 03:45	PST	6.87	P	19.6	P	147	P
USGS	11455420	2019-09-28 04:00	PST	6.73	P	19.6	P	148	P
USGS	11455420	2019-09-28 04:15	PST	6.55	P	19.6	P	148	P
USGS	11455420	2019-09-28 04:30	PST	6.35	P	19.6	P	149	P
USGS	11455420	2019-09-28 04:45	PST	6.16	P	19.6	P	150	P
USGS	11455420	2019-09-28 05:00	PST	5.97	P	19.6	P	150	P
USGS	11455420	2019-09-28 05:15	PST	5.77	P	19.5	P	147	P
USGS	11455420	2019-09-28 05:30	PST	5.60	P	19.5	P	145	P
USGS	11455420	2019-09-28 05:45	PST	5.43	P	19.4	P	144	P
USGS	11455420	2019-09-28 06:00	PST	5.27	P	19.4	P	143	P
USGS	11455420	2019-09-28 06:15	PST	5.13	P	19.4	P	143	P
USGS	11455420	2019-09-28 06:30	PST	4.99	P	19.3	P	142	P
USGS	11455420	2019-09-28 06:45	PST	4.84	P	19.3	P	142	P
USGS	11455420	2019-09-28 07:00	PST	4.71	P	19.3	P	143	P
USGS	11455420	2019-09-28 07:15	PST	4.57	P	19.3	P	143	P
USGS	11455420	2019-09-28 07:30	PST	4.40	P	19.3	P	144	P
USGS	11455420	2019-09-28 07:45	PST	4.28	P	19.3	P	144	P
USGS	11455420	2019-09-28 08:00	PST	4.18	P	19.3	P	144	P
USGS	11455420	2019-09-28 08:15	PST	4.01	P	19.2	P	144	P
USGS	11455420	2019-09-28 08:30	PST	3.93	P	19.2	P	143	P
USGS	11455420	2019-09-28 08:45	PST	3.79	P	19.2	P	144	P
USGS	11455420	2019-09-28 09:00	PST	3.70	P	19.2	P	144	P
USGS	11455420	2019-09-28 09:15	PST	3.56	P	19.2	P	144	P
USGS	11455420	2019-09-28 09:30	PST	3.44	P	19.2	P	144	P
USGS	11455420	2019-09-28 09:45	PST	3.41	P	19.2	P	145	P
USGS	11455420	2019-09-28 10:00	PST	3.38	P	19.2	P	145	P
USGS	11455420	2019-09-28 10:15	PST	3.40	P	19.2	P	145	P
USGS	11455420	2019-09-28 10:30	PST	3.45	P	19.1	P	145	P
USGS	11455420	2019-09-28 10:45	PST	3.61	P	19.1	P	145	P
USGS	11455420	2019-09-28 11:00	PST	3.83	P	19.2	P	146	P
USGS	11455420	2019-09-28 11:15	PST	4.14	P	19.2	P	145	P
USGS	11455420	2019-09-28 11:30	PST	4.41	P	19.2	P	145	P
USGS	11455420	2019-09-28 11:45	PST	4.70	P	19.2	P	146	P
USGS	11455420	2019-09-28 12:00	PST	4.92	P	19.2	P	146	P
USGS	11455420	2019-09-28 12:15	PST	5.13	P	19.3	P	146	P
USGS	11455420	2019-09-28 12:30	PST	5.31	P	19.3	P	146	P
USGS	11455420	2019-09-28 12:45	PST	5.48	P	19.4	P	147	P
USGS	11455420	2019-09-28 13:00	PST	5.68	P	19.4	P	146	P
USGS	11455420	2019-09-28 13:15	PST	5.84	P	19.4	P	145	P
USGS	11455420	2019-09-28 13:30	PST	5.97	P	19.3	P	144	P
